Company_name;Description;Ratings;Highly_rated_for;Critically_rated_for;Total_reviews;Avg_salary;Interviews_taken;Total_jobs_available;Total_benefits;;
AYM Syntex;Fashion & Textile | 1k-5k Employees | Public | 39 years old | Mumbai +6 more;4.0;Promotions / Appraisal;;134;706;8;2;19;;
Rossari Biotech;Chemicals | 201-500 Employees | 27 years old | Mumbai +12 more;4.0;Salary & Benefits, Company Culture;Promotions / Appraisal;133;851;6;3;18;;
JBF Industries;Fashion & Textile | 201-500 Employees | Public | 42 years old | Mumbai +6 more;4.0;Job Security, Work Life Balance;Promotions / Appraisal, Salary & Benefits;133;714;5;--;15;;
Maschio Gaspardo;Industrial Machinery | 201-500 Employees | 60 years old | Pune +21 more;4.0;Job Security, Skill Development / Learning, Company Culture;;133;689;7;2;28;;
BookMyShow;Internet | 501-1k Employees | 25 years old | Mumbai +13 more;4.0;Company Culture, Work Life Balance, Work Satisfaction;;133;1.3k;11;58;18;;
Rishabh Software;Software Product | 501-1k Employees | 25 years old | Vadodara/Baroda +3 more;4.0;Work Life Balance, Job Security, Skill Development / Learning;;133;1.2k;3;33;25;;
Lakme Salon;Beauty & Personal Care | 1k-5k Employees (Global) | 44 years old | Mumbai +41 more;4.0;Skill Development / Learning;Promotions / Appraisal;132;337;7;--;15;;
Brick&Bolt;Engineering & Construction | 51-200 Employees | Startup | 7 years old | Bangalore +5 more;4.0;Company Culture, Salary & Benefits, Work Life Balance;;132;561;8;80;4;;
Carnival Group;Media & Entertainment | 51-200 Employees | Conglomerate | 17 years old | Mumbai +35 more;4.0;Work Life Balance, Company Culture;Job Security, Salary & Benefits;131;321;--;6;19;;
Cosmos Impex;Industrial Machinery | 501-1k Employees (Global) | 37 years old | Vadodara +20 more;4.0;Job Security, Work Life Balance, Company Culture;Promotions / Appraisal;131;734;7;9;17;;
Dmi Housing Finance;Financial Services | 51-200 Employees | 16 years old | New Delhi +33 more;4.0;Salary & Benefits, Company Culture, Job Security;;131;568;5;--;11;;
Armstrong International;Financial Services | 51-200 Employees | 124 years old | Three Rivers +23 more;4.0;Company Culture, Skill Development / Learning, Job Security;Promotions / Appraisal;131;648;6;3;16;;
Roots Multiclean;Industrial Machinery | 1k-5k Employees | Public | 32 years old | Coimbatore +21 more;4.0;Job Security;Promotions / Appraisal, Salary & Benefits;131;1k;11;--;18;;
Premier Indoplast;51-200 Employees | 45 years old | Faridabad +12 more;4.0;Salary & Benefits;;130;456;--;--;4;;
Premier Indoplast;51-200 Employees | 45 years old | Faridabad +12 more;4.0;Salary & Benefits;;130;456;--;--;4;;
Astegic;IT Services & Consulting | 51-200 Employees | 21 years old | Falls Church +1 more;4.0;Work Life Balance, Salary & Benefits, Work Satisfaction;;129;489;6;26;7;;
Astegic;IT Services & Consulting | 51-200 Employees | 21 years old | Falls Church +1 more;4.0;Work Life Balance, Salary & Benefits, Work Satisfaction;;129;489;6;26;7;;
Sagar Hospital;Healthcare | 1k-5k Employees | 22 years old | Bangalore/Bengaluru +7 more;4.0;Work Satisfaction, Skill Development / Learning, Work Life Balance;;129;555;3;--;15;;
Qube Cinema Technologies;Media & Entertainment | 501-1k Employees | 20 years old | Chennai +9 more;4.0;Promotions / Appraisal;;129;743;3;9;20;;
Osam Dairy;Agriculture | 201-500 Employees | 14 years old | Ranchi +19 more;4.0;Work Life Balance;Promotions / Appraisal, Salary & Benefits, Job Security;129;401;3;--;1;;
NTC Logistics India;Logistics | 501-1k Employees | 27 years old | Chennai +17 more;4.0;Work Life Balance, Skill Development / Learning, Job Security;;128;821;10;3;16;;
Winjit Technologies;IT Services & Consulting | 201-500 Employees | 20 years old | Nashik +6 more;4.0;Job Security, Company Culture;Salary & Benefits;128;1.3k;20;49;13;;
National Small Industries Corporation;Government | 1k-5k Employees | Central | 69 years old | New Delhi +27 more;4.0;Work Life Balance, Skill Development / Learning, Company Culture;Promotions / Appraisal;128;593;5;--;13;;
Axa Parenterals;Pharma | 201-500 Employees | Public | 19 years old | Roorkee +7 more;4.0;Job Security, Work Satisfaction, Skill Development / Learning;Promotions / Appraisal;128;646;10;2;17;;
Orange City Water;Waste Management | 201-500 Employees | 13 years old | Nagpur +2 more;4.0;Work Life Balance, Work Satisfaction;Promotions / Appraisal;127;449;6;--;8;;
Tata Ficosa Automotive Systems;Auto Components | 201-500 Employees | 26 years old | Pune +10 more;4.0;Skill Development / Learning, Job Security;;127;654;4;--;19;;
Kwality Pharmaceuticals;Pharma | 501-1k Employees | Public | 41 years old | Amritsar +5 more;4.0;Skill Development / Learning;;127;625;10;--;10;;
Wicked Ride Adventures;Internet | 51-200 Employees | Startup | 10 years old | Bangalore +8 more;4.0;Work Satisfaction, Work Life Balance, Company Culture;Job Security;126;851;1;--;11;;
Collman Services;BPO | 201-500 Employees | Chennai +14 more;4.0;Skill Development / Learning, Company Culture, Salary & Benefits;;126;538;4;--;8;;
Birla Cellulose;Pulp & Paper | 201-500 Employees | Surat +12 more;4.0;Skill Development / Learning, Job Security, Promotions / Appraisal;Work Life Balance;126;647;7;--;14;;
MeritTrac;EdTech | 201-500 Employees | 24 years old | Bangalore +14 more;4.0;Company Culture;Promotions / Appraisal, Job Security;126;640;--;--;15;;
Ayesa;IT Services & Consulting | 201-500 Employees | 12 years old | Sevilla +9 more;4.0;Work Life Balance, Work Satisfaction, Company Culture;;126;572;8;--;19;;
Lauren Information Technologies;IT Services & Consulting | 201-500 Employees | 32 years old | Mumbai +13 more;4.0;Promotions / Appraisal;;126;1k;3;1;11;;
J Pan Tubular Components;Industrial Machinery | 51-200 Employees | 17 years old | Greater Noida +9 more;4.0;Skill Development / Learning;Promotions / Appraisal, Job Security;125;502;6;7;12;;
BG Distributors;FMCG | 201-500 Employees | 20 years old | Kolkata +22 more;4.0;Promotions / Appraisal, Salary & Benefits, Work Satisfaction;;125;363;3;1;12;;
BG Distributors;FMCG | 201-500 Employees | 20 years old | Kolkata +22 more;4.0;Promotions / Appraisal, Salary & Benefits, Work Satisfaction;;125;363;3;1;12;;
SITA;IT Services & Consulting | 5k-10k Employees | 75 years old | Geneva +19 more;4.0;Work Life Balance, Company Culture, Skill Development / Learning;Promotions / Appraisal;125;936;7;13;24;;
Shree Technocrat Communication Systems;Telecom | 18 years old | New Delhi +17 more;4.0;Promotions / Appraisal, Salary & Benefits, Job Security;;124;571;8;2;10;;
SGB;Engineering & Construction | 51-200 Employees | San Diego +21 more;4.0;Work Life Balance, Salary & Benefits;Promotions / Appraisal, Work Satisfaction, Job Security;124;456;2;3;22;;
Bry-Air (Asia);Industrial Machinery | 1k-5k Employees | 43 years old | Gurgaon/Gurugram +13 more;4.0;Job Security, Work Life Balance;Promotions / Appraisal, Salary & Benefits;124;694;5;6;15;;
First Data;10k-50k Employees (Global) | Atlanta +12 more;4.0;Work Life Balance, Salary & Benefits, Company Culture;;123;1k;1;--;17;;
Nitor Infotech;IT Services & Consulting | 501-1k Employees | 18 years old | United states +1 more;4.0;Skill Development / Learning, Company Culture, Work Life Balance;;123;1.5k;11;3;14;;
ONKAR DIES;Engineering & Construction | 201-500 Employees | 26 years old | Pune +5 more;4.0;Skill Development / Learning;;123;673;4;1;17;;
First Data;10k-50k Employees (Global) | Atlanta +12 more;4.0;Work Life Balance, Salary & Benefits, Company Culture;;123;1k;1;--;17;;
Jotun Paints;Petrochemicals | 201-500 Employees | 98 years old | Sandefjord +21 more;4.0;Work Life Balance, Company Culture, Job Security;Promotions / Appraisal;123;571;5;6;22;;
Nitor Infotech;IT Services & Consulting | 501-1k Employees | 18 years old | United states +1 more;4.0;Skill Development / Learning, Company Culture, Work Life Balance;;123;1.5k;11;3;14;;
Diagno Labs;Healthcare | 201-500 Employees (Global) | 12 years old | Gurgaon/Gurugram +27 more;4.0;Skill Development / Learning, Work Life Balance;Job Security;123;462;2;--;12;;
ONKAR DIES;Engineering & Construction | 201-500 Employees | 26 years old | Pune +5 more;4.0;Skill Development / Learning;;123;673;4;1;17;;
Agiliad Technologies;Industrial Automation | 201-500 Employees | 13 years old | Pune +4 more;4.0;Skill Development / Learning, Company Culture, Job Security;;123;1.2k;13;33;10;;
Annet Technologies;Software Product | 201-500 Employees | 26 years old | Dallas +4 more;4.0;Job Security, Work Life Balance, Company Culture;Salary & Benefits;122;827;6;1;14;;
Modern Business Solutions;Recruitment | 5k-10k Employees | 20 years old | Ahmedabad +55 more;4.0;Promotions / Appraisal;;122;446;6;--;10;;
Pickrr;Internet | 201-500 Employees | Startup | 9 years old | Faridabad +4 more;4.0;Salary & Benefits, Skill Development / Learning, Company Culture;;122;718;2;92;26;;
Tresor Systems;Retail | 51-200 Employees | 15 years old | New Delhi +18 more;4.0;Skill Development / Learning, Job Security, Work Life Balance;;122;543;7;--;15;;
K R Mangalam University;Education & Training | 51-200 Employees | 11 years old | Gurgaon +4 more;4.0;Work Life Balance, Job Security, Skill Development / Learning;;122;287;9;5;7;;
TransPerfect;Hardware & Networking | 501-1k Employees | 32 years old | New York +4 more;4.0;Job Security, Company Culture, Work Life Balance;Promotions / Appraisal, Salary & Benefits;121;880;10;9;10;;
Serdia Pharmaceuticals;Pharma | 501-1k Employees | 38 years old | Mumbai +22 more;4.0;Skill Development / Learning, Work Life Balance, Job Security;Promotions / Appraisal, Salary & Benefits;121;442;6;--;18;;
3F Industries;Food Processing | 1k-5k Employees | Public | 64 years old | Prathipadu +16 more;4.0;Promotions / Appraisal, Company Culture, Work Satisfaction;;121;679;5;4;15;;
Presidium School;Education & Training | 501-1k Employees | 19 years old | New Delhi +7 more;4.0;Work Life Balance, Job Security, Skill Development / Learning;Promotions / Appraisal, Salary & Benefits;121;634;1;--;13;;
Sun Mobility;Auto Components | 11-50 Employees | Startup | 7 years old | Bangalore +5 more;4.0;Job Security, Work Life Balance;Promotions / Appraisal;121;885;10;11;20;;
Proziod Analytics;IT Services & Consulting | 51-200 Employees | 8 years old | Bengaluru/Bangalore +2 more;4.0;Work Life Balance, Job Security, Company Culture;;121;386;5;4;23;;
NSL Sugars;Food Processing | 201-500 Employees | 25 years old | Hyderabad +14 more;4.0;Company Culture, Job Security, Work Satisfaction;;121;472;4;--;10;;
Orange Mantra;IT Services & Consulting | 201-500 Employees | 23 years old | Gurgaon/Gurugram +7 more;4.0;Work Life Balance, Salary & Benefits, Work Satisfaction;;121;851;15;147;26;;
ETV Bharat;Broadcasting | 1k-5k Employees | Hyderabad / Secunderabad +3 more;4.0;Job Security, Skill Development / Learning, Work Life Balance;Promotions / Appraisal, Salary & Benefits;121;524;6;--;18;;
Weir Minerals;Metals & Mining | 501-1k Employees | 153 years old | Fort Worth +10 more;4.0;Job Security, Company Culture, Work Life Balance;Promotions / Appraisal, Salary & Benefits;121;738;7;16;18;;
Toppan Merrill Technology Services India;Financial Services | 501-1k Employees | New York +2 more;4.0;Job Security, Company Culture, Work Life Balance;Promotions / Appraisal, Salary & Benefits;121;1.1k;14;7;11;;
ZestMoney;FinTech | 201-500 Employees | Startup | 9 years old | Bangalore +16 more;4.0;Work Life Balance, Company Culture;Job Security, Promotions / Appraisal;119;799;10;5;17;;
Nucon Aerospace;Defence & Aerospace | 201-500 Employees | 52 years old | Hyderabad +4 more;4.0;Skill Development / Learning, Work Life Balance, Company Culture;;119;849;9;--;10;;
Rane Group;Auto Components | 1k-5k Employees | Public | Chennai +20 more;4.0;Skill Development / Learning, Job Security;Salary & Benefits;119;635;8;--;17;;
Verka milk dairy;Agriculture | 501-1k Employees | 51 years old | Chandigarh +16 more;4.0;Promotions / Appraisal, Salary & Benefits;;119;323;3;--;2;;
GKN Sinter Metals;Auto Components | 51-200 Employees | 122 years old | Auburn Hills +7 more;4.0;Job Security, Promotions / Appraisal;;119;593;6;--;14;;
NDTV;Broadcasting | 1k-5k Employees | 35 years old | New Delhi +6 more;4.0;Salary & Benefits, Promotions / Appraisal;;119;701;3;5;21;;
NDTV;Broadcasting | 1k-5k Employees | 35 years old | New Delhi +6 more;4.0;Salary & Benefits, Promotions / Appraisal;;119;701;3;5;21;;
ZestMoney;FinTech | 201-500 Employees | Startup | 9 years old | Bangalore +16 more;4.0;Work Life Balance, Company Culture;Job Security, Promotions / Appraisal;119;799;10;5;17;;
Goel Ganga Developments;Real Estate | 51-200 Employees | 42 years old | Pune +1 more;4.0;Work Life Balance;Promotions / Appraisal, Salary & Benefits;119;613;7;--;21;;
Verka milk dairy;Agriculture | 501-1k Employees | 51 years old | Chandigarh +16 more;4.0;Promotions / Appraisal, Salary & Benefits;;119;323;3;--;2;;
Netoyed;11-50 Employees | Noida +1 more;4.0;Skill Development / Learning, Work Life Balance, Work Satisfaction;;119;98;--;12;115;;
Netoyed;11-50 Employees | Noida +1 more;4.0;Skill Development / Learning, Work Life Balance, Work Satisfaction;;119;98;--;12;115;;
Anmol Biscuits;FMCG | 501-1k Employees | Public | 30 years old | Kolkata +30 more;4.0;Skill Development / Learning, Company Culture, Job Security;;118;394;6;5;11;;
Securitrans India;Financial Services | 1k-5k Employees | 38 years old | Delhi/NCR +40 more;4.0;Work Life Balance;Promotions / Appraisal, Salary & Benefits, Company Culture;118;455;6;--;14;;
Mobase;Auto Components | 1k-5k Employees (Global) | 46 years old | Ansan-si +8 more;4.0;Promotions / Appraisal, Salary & Benefits;;118;725;3;--;19;;
Avvashya Cci Logistics;Logistics | 1k-5k Employees | 9 years old | Mumbai +20 more;4.0;Salary & Benefits, Company Culture;;118;572;7;1;24;;
Eastern Coalfields;Metals & Mining | 50k-1 Lakh Employees (Global) | 49 years old | West Bengal +15 more;4.0;Job Security, Work Life Balance, Skill Development / Learning;;118;271;4;--;13;;
BT Global Services;IT Services & Consulting | 1k-5k Employees | 24 years old | London +5 more;4.0;Work Life Balance, Job Security, Company Culture;Promotions / Appraisal;118;8.2k;55;64;259;;
Gowtham Model School;Education & Training | 201-500 Employees | 21 years old | Secunderabad +11 more;4.0;Skill Development / Learning, Company Culture, Job Security;;117;468;9;--;11;;
Apis India;Food Processing | 201-500 Employees | Public | 100 years old | Delhi/NCR +27 more;4.0;Work Life Balance;;117;618;8;1;13;;
SAGE Publications;Media & Entertainment | 201-500 Employees | 59 years old | Thousand Oaks +3 more;4.0;Work Life Balance, Company Culture;Promotions / Appraisal;117;655;6;9;25;;
VASANTHA TOOL CRAFTS;Industrial Machinery | 201-500 Employees | 35 years old | Hyderabad +1 more;4.0;Promotions / Appraisal, Work Life Balance;;117;520;7;--;20;;
OptiSol Business Solutions;IT Services & Consulting | 201-500 Employees | 18 years old | Chennai +3 more;4.0;Skill Development / Learning, Company Culture, Work Satisfaction;;117;791;9;33;22;;
Ideas2IT Technologies;Software Product | 501-1k Employees | 15 years old | Chennai +5 more;4.0;Job Security, Skill Development / Learning, Company Culture;;117;859;24;20;41;;
Nv Group;Beverage | 501-1k Employees | 30 years old | New Delhi +17 more;4.0;Work Life Balance;Promotions / Appraisal;116;613;4;2;11;;
Prism Cement - Prism Johnson;Building Material | 1k-5k Employees | Satna +34 more;4.0;Job Security;;116;664;16;--;16;;
Nv Group;Beverage | 501-1k Employees | 30 years old | New Delhi +17 more;4.0;Work Life Balance;Promotions / Appraisal;116;613;4;2;11;;
Prism Cement - Prism Johnson;Building Material | 1k-5k Employees | Satna +34 more;4.0;Job Security;;116;664;16;--;16;;
UnitedHealthcare Parekh Insurance TPA;Healthcare | 51-200 Employees | 47 years old | Minnesota +10 more;4.0;Job Security, Company Culture, Salary & Benefits;Promotions / Appraisal;115;645;2;--;14;;
Punjab and Maharashtra Co-operative Bank;Banking | 10k-50k Employees (Global) | Public | 40 years old | Mumbai +22 more;4.0;Skill Development / Learning, Work Life Balance;Promotions / Appraisal, Job Security, Salary & Benefits;115;1.1k;1;--;7;;
UTILITY PROJECTS AND SERVICES;Engineering & Construction | 1k-5k Employees | 18 years old | Chennai +16 more;4.0;Promotions / Appraisal;;115;732;8;2;20;;
Accountant Anywhere Services;BPO | 1-10 Employees | 23 years old | Pune +40 more;4.0;Work Satisfaction, Skill Development / Learning, Company Culture;;115;1.2k;10;--;19;;
Rabindranath Tagore International Institute of Cardiac Sciences;Healthcare | 201-500 Employees | Public | 24 years old | Kolkata +6 more;4.0;Skill Development / Learning, Job Security;Salary & Benefits, Promotions / Appraisal;115;370;1;--;15;;
Starmark Software;IT Services & Consulting | 51-200 Employees | 24 years old | Bengaluru +2 more;4.0;Promotions / Appraisal, Salary & Benefits;;115;1.1k;10;26;11;;
ATC (Assam);Logistics | 501-1k Employees (Global) | 72 years old | New Delhi +34 more;4.0;Work Satisfaction, Company Culture, Work Life Balance;;114;680;4;6;8;;
Sakshi;Printing & Publishing | 10k-50k Employees | 16 years old | Hyderabad +28 more;4.0;Job Security, Work Life Balance, Work Satisfaction;Promotions / Appraisal, Salary & Benefits;114;662;3;9;8;;
India Pesticides;Agro Chemicals | 501-1k Employees | 40 years old | Bareilly +18 more;4.0;Job Security, Work Satisfaction, Skill Development / Learning;Promotions / Appraisal;114;658;12;2;6;;
Ajmal Perfumes;Beauty & Personal Care | 501-1k Employees (Global) | 73 years old | Dubai +20 more;4.0;Promotions / Appraisal;;113;397;6;--;6;;
Altair Engineering;IT Services & Consulting | 501-1k Employees | 39 years old | Troy +8 more;4.0;Work Life Balance, Company Culture, Job Security;Promotions / Appraisal;113;916;22;--;22;;
sri chaitanya techno school;Hyderabad / Secunderabad +31 more;4.0;Job Security, Skill Development / Learning;Salary & Benefits, Promotions / Appraisal, Work Life Balance;113;303;2;--;--;;
MRC Logistics;Logistics | 1k-5k Employees | 53 years old | Pune +33 more;4.0;Salary & Benefits, Company Culture, Work Satisfaction;;113;578;2;--;9;;
Clarion Technologies;IT Services & Consulting | 501-1k Employees | 24 years old | Pune +4 more;4.0;Job Security, Company Culture, Work Life Balance;Promotions / Appraisal;113;1.3k;11;22;11;;
Kumar Properties;Real Estate | 501-1k Employees (Global) | 58 years old | Pune +5 more;4.0;Work Life Balance, Job Security, Company Culture;;112;756;11;12;7;;
Packt Publishing;Printing & Publishing | 201-500 Employees | 20 years old | Colmore Business District +5 more;4.0;Company Culture, Work Life Balance, Work Satisfaction;Promotions / Appraisal;112;880;10;7;25;;
AB Mauri India;FMCG | 201-500 Employees | 64 years old | Bangalore/Bengaluru +21 more;4.0;Job Security, Work Life Balance, Salary & Benefits;Promotions / Appraisal;112;582;3;3;9;;
Spykar Lifestyles;Fashion & Textile | 501-1k Employees | 32 years old | Mumbai +29 more;4.0;;;112;458;3;8;11;;
Vee Gee Industrial Enterprises;Electronics Manufacturing | 201-500 Employees | 17 years old | Faridabad +6 more;4.0;Company Culture, Job Security, Skill Development / Learning;Promotions / Appraisal;111;595;6;--;11;;
Mahindra Agri Solutions;Agriculture | 201-500 Employees (Global) | 24 years old | Mumbai +30 more;4.0;Skill Development / Learning, Company Culture;Promotions / Appraisal;111;400;3;--;16;;
Integrated Enterprises;Financial Services | 1k-5k Employees | 50 years old | Chennai +24 more;4.0;Skill Development / Learning, Job Security;Promotions / Appraisal, Salary & Benefits;111;486;7;6;8;;
Techmagnate;Marketing & Advertising | 201-500 Employees | 6 years old | Delhi/NCR +2 more;4.0;Job Security, Skill Development / Learning, Salary & Benefits;;111;597;4;14;25;;
Techmagnate;Marketing & Advertising | 201-500 Employees | 6 years old | Delhi/NCR +2 more;4.0;Job Security, Skill Development / Learning, Salary & Benefits;;111;597;4;14;25;;
Mahindra Agri Solutions;Agriculture | 201-500 Employees (Global) | 24 years old | Mumbai +30 more;4.0;Skill Development / Learning, Company Culture;Promotions / Appraisal;111;400;3;--;16;;
B M Birla Heart Research Centre;Healthcare | 1k-5k Employees | 35 years old | Kolkata +6 more;4.0;Skill Development / Learning;Promotions / Appraisal, Job Security, Salary & Benefits;111;369;3;--;6;;
Vibracoustic;Automobile | 201-500 Employees | 12 years old | Darmstadt +9 more;4.0;Work Life Balance, Company Culture;;111;509;4;3;20;;
Group Pharmaceuticals;Pharma | 501-1k Employees | 44 years old | Mumbai +20 more;4.0;Skill Development / Learning, Company Culture, Work Life Balance;;110;375;3;1;14;;
Yanfeng Automotive Interiors;Auto Components | 50k-1 Lakh Employees (Global) | 9 years old | Shanghai +5 more;4.0;Company Culture, Work Satisfaction, Skill Development / Learning;Promotions / Appraisal;110;563;7;4;15;;
IT Solutions;IT Services & Consulting | 51-200 Employees | 28 years old | New Delhi +27 more;4.0;Work Satisfaction, Skill Development / Learning, Job Security;;110;1.7k;9;19;14;;
Century Rayon;Fashion & Textile | 201-500 Employees | 72 years old | Mumbai +6 more;4.0;Job Security;Promotions / Appraisal, Salary & Benefits;110;519;3;1;23;;
Agastya International Foundation;Non-Profit | 1k-5k Employees | 25 years old | Bangalore +26 more;4.0;Work Life Balance, Work Satisfaction, Company Culture;Promotions / Appraisal;110;331;2;2;32;;
Agastya International Foundation;Non-Profit | 1k-5k Employees | 25 years old | Bangalore +26 more;4.0;Work Life Balance, Work Satisfaction, Company Culture;Promotions / Appraisal;110;331;2;2;32;;
Pagarbook;Software Product | 51-200 Employees | Startup | 5 years old | Bangalore +21 more;4.0;Salary & Benefits;Job Security;110;494;8;12;11;;
ABP Network;Broadcasting | 1k-5k Employees | 21 years old | Noida +13 more;4.0;Company Culture, Skill Development / Learning;Promotions / Appraisal, Salary & Benefits;110;840;2;9;14;;
Indira Gandhi National Open University;Education & Training | 501-1k Employees | Public | 39 years old | Delhi/NCR +31 more;4.0;Work Life Balance;Job Security, Promotions / Appraisal, Salary & Benefits;109;297;2;--;9;;
KRG Technologies;IT Services & Consulting | 201-500 Employees | 21 years old | Valencia +5 more;4.0;Skill Development / Learning, Company Culture, Salary & Benefits;;109;582;5;55;9;;
Pearl Precision Products;Noida +16 more;4.0;Promotions / Appraisal, Job Security;;109;452;3;8;8;;
PACL India;Real Estate | 1k-5k Employees (Global) | 28 years old | New Delhi +42 more;4.0;Job Security, Work Life Balance, Work Satisfaction;;109;242;1;--;8;;
Bilt;Pulp & Paper | 1k-5k Employees | 79 years old | Gurgaon/Gurugram +19 more;4.0;Company Culture, Job Security, Work Satisfaction;;109;559;7;--;15;;
B. E. Billimoria;Engineering & Construction | 201-500 Employees | 66 years old | Mumbai +11 more;4.0;Salary & Benefits, Promotions / Appraisal, Work Satisfaction;;109;279;4;1;9;;
KRG Technologies;IT Services & Consulting | 201-500 Employees | 21 years old | Valencia +5 more;4.0;Skill Development / Learning, Company Culture, Salary & Benefits;;109;582;5;55;9;;
Pearl Precision Products;Noida +16 more;4.0;Promotions / Appraisal, Job Security;;109;452;3;8;8;;
Frick India;Industrial Machinery | 201-500 Employees | Public | 62 years old | New Delhi +9 more;4.0;Work Life Balance, Salary & Benefits;;108;591;4;--;7;;
Mangal Industries;Auto Components | 501-1k Employees | 34 years old | Hyderabad +11 more;4.0;Job Security, Work Life Balance, Skill Development / Learning;Promotions / Appraisal;108;583;4;8;12;;
Pixon Energy;Electrical Equipment | 51-200 Employees | Rajkot +7 more;4.0;Work Life Balance, Salary & Benefits, Company Culture;;108;360;8;15;35;;
Bausch & Lomb;Medical Equipment | 201-500 Employees | 171 years old | Bridgewater +19 more;4.0;Work Life Balance, Job Security, Salary & Benefits;Promotions / Appraisal;107;545;--;--;14;;
Games24x7;Gaming | 501-1k Employees | Indian Unicorn | 18 years old | Mumbai +4 more;4.0;Salary & Benefits, Company Culture, Skill Development / Learning;Promotions / Appraisal;107;1.1k;8;32;15;;
Bounce;Automobile | 501-1k Employees | Startup | 10 years old | Bangalore +10 more;4.0;Work Life Balance, Company Culture;Job Security;107;989;6;11;13;;
Modi Naturals;Agro Chemicals | 501-1k Employees | Public | 50 years old | New Delhi +22 more;4.0;Promotions / Appraisal, Salary & Benefits;;106;496;2;--;9;;
HWASHIN Automotive;Auto Components | 201-500 Employees | 22 years old | Chennai +3 more;4.0;Job Security;Promotions / Appraisal;106;511;--;--;15;;
Voith;Industrial Machinery | 201-500 Employees | 157 years old | Heidenheim +10 more;4.0;Salary & Benefits;Promotions / Appraisal;106;716;4;1;18;;
UTI Mutual Fund;Financial Services | 1k-5k Employees | 61 years old | Mumbai +49 more;4.0;Work Life Balance, Job Security, Company Culture;Promotions / Appraisal;106;676;7;1;11;;
Mantra Softech;IT Services & Consulting | 51-200 Employees | 18 years old | Ahmedabad +13 more;4.0;Company Culture, Work Life Balance;Salary & Benefits;106;820;8;10;10;;
Gandour India Food Processing;Food Processing | 51-200 Employees | 25 years old | Hyderabad/Secunderabad +24 more;4.0;Work Satisfaction, Skill Development / Learning;Promotions / Appraisal;106;448;3;--;11;;
Rds Project;Real Estate | 201-500 Employees | 32 years old | New Delhi +19 more;4.0;Promotions / Appraisal;;106;529;4;3;12;;
Flovel Energy;Power | 1k-5k Employees | 53 years old | Faridabad +2 more;4.0;Job Security, Work Satisfaction, Company Culture;Promotions / Appraisal;106;597;9;3;18;;
GMP Technical Solutions;Industrial Machinery | 1k-5k Employees | 19 years old | Mumbai +16 more;4.0;Promotions / Appraisal, Skill Development / Learning, Work Satisfaction;;106;644;4;2;7;;
Micromatic Grinding Technologies;Industrial Machinery | 501-1k Employees | 51 years old | Ghaziabad +5 more;4.0;Company Culture, Skill Development / Learning;Promotions / Appraisal;105;580;5;3;21;;
Reliance HR Services;Recruitment | 5k-10k Employees | Mumbai +29 more;4.0;Work Satisfaction, Company Culture;;105;364;1;--;11;;
Blackbuck Insights;IT Services & Consulting | 201-500 Employees | Startup | 8 years old | Rolling Meadows +7 more;4.0;Work Life Balance, Skill Development / Learning, Company Culture;;105;372;10;3;9;;
Wise Finserv;Investment Banking / Venture Capital / Private Equity | 51-200 Employees | 11 years old | Noida +3 more;4.0;Skill Development / Learning, Company Culture, Work Life Balance;Salary & Benefits;105;136;5;2;9;;
Sundyota Numandis Pharmaceuticals;Pharma | 51-200 Employees | 21 years old | Ahmedabad +23 more;4.0;Skill Development / Learning, Company Culture, Work Satisfaction;Salary & Benefits;105;372;5;7;22;;
Bondada Engineering;Engineering & Construction | 51-200 Employees | 12 years old | Hyderabad +23 more;4.0;Company Culture, Work Life Balance;Promotions / Appraisal;105;437;8;2;9;;
Wise Finserv;Investment Banking / Venture Capital / Private Equity | 51-200 Employees | 11 years old | Noida +3 more;4.0;Skill Development / Learning, Company Culture, Work Life Balance;Salary & Benefits;105;136;5;2;9;;
Blackbuck Insights;IT Services & Consulting | 201-500 Employees | Startup | 8 years old | Rolling Meadows +7 more;4.0;Work Life Balance, Skill Development / Learning, Company Culture;;105;372;10;3;9;;
Talent Corner HR Services;Recruitment | 51-200 Employees | 22 years old | Mumbai +27 more;4.0;Work Life Balance, Skill Development / Learning;;105;348;5;191;11;;
NCDEX;Financial Services | 201-500 Employees | 21 years old | Mumbai +18 more;4.0;Job Security, Company Culture, Work Life Balance;Promotions / Appraisal;105;871;6;14;15;;
Golden Tulip Hotels;Hospitality | 501-1k Employees | 62 years old | Amersfoort +25 more;4.0;Job Security, Work Life Balance, Skill Development / Learning;;104;476;4;--;15;;
Oasis Partners Asia;Engineering & Construction | 5k-10k Employees | Mumbai +54 more;4.0;Skill Development / Learning;Promotions / Appraisal, Job Security, Salary & Benefits;104;473;6;--;9;;
Ognibene India;Industrial Machinery | 501-1k Employees | 71 years old | Reggio Emilia +4 more;4.0;Promotions / Appraisal;;104;761;7;--;15;;
Radiant Enterprise;Furniture & Furnishing | 11-50 Employees | 22 years old | Pune +40 more;4.0;Skill Development / Learning, Salary & Benefits, Job Security;Promotions / Appraisal;104;381;--;--;16;;
Radiant Enterprise;Furniture & Furnishing | 11-50 Employees | 22 years old | Pune +40 more;4.0;Skill Development / Learning, Salary & Benefits, Job Security;Promotions / Appraisal;104;381;--;--;16;;
Oasis Partners Asia;Engineering & Construction | 5k-10k Employees | Mumbai +54 more;4.0;Skill Development / Learning;Promotions / Appraisal, Job Security, Salary & Benefits;104;473;6;--;9;;
