Company_name;Description;Ratings;Highly_rated_for;Critically_rated_for;Total_reviews;Avg_salary;Interviews_taken;Total_jobs_available;Total_benefits;;
ETA ASCON Group;Engineering & Construction | 50k-1 Lakh Employees (Global) | 51 years old | Dubai +12 more;4.7;Work Life Balance, Company Culture, Job Security;;92;140;2;--;18;;
Grivaa Capital;Financial Services | 11-50 Employees | 9 years old | New Delhi +2 more;4.7;Work Satisfaction, Skill Development / Learning, Company Culture;;92;7;--;--;34;;
Railrestro.com;Internet | 51-200 Employees | Startup | 9 years old | Patna +1 more;4.7;Skill Development / Learning, Work Life Balance, Company Culture;;86;51;1;9;32;;
Demech Chemical Products;Chemicals | 51-200 Employees | Pune +11 more;4.7;Job Security, Work Life Balance, Skill Development / Learning;;85;302;22;--;12;;
Jumeirah International;Hospitality | 201-500 Employees | 27 years old | Dubai +3 more;4.7;Company Culture, Skill Development / Learning, Work Life Balance;;83;202;3;--;19;;
FINPLAN INTERNATIONAL EDUCATION;Education & Training | 51-200 Employees | 13 years old | Mumbai +3 more;4.7;Skill Development / Learning, Work Satisfaction, Promotions / Appraisal;;81;76;--;3;12;;
Arkade Group;Real Estate | 51-200 Employees | 38 years old | Mumbai +4 more;4.7;Company Culture, Work Satisfaction, Job Security;;79;186;4;--;5;;
Zynova Shalby Multispecialty Hospitals;Healthcare | 201-500 Employees | 3 years old | Mumbai +1 more;4.7;Skill Development / Learning, Work Satisfaction, Work Life Balance;;79;2;--;--;2;;
Maxbhi.Com;New Delhi +8 more;4.7;Work Satisfaction, Company Culture, Skill Development / Learning;;78;9;--;--;--;;
N K Buildcon;Waste Management | 51-200 Employees | 29 years old | Jaipur +8 more;4.7;Company Culture, Skill Development / Learning, Job Security;;78;186;2;2;5;;
Bluefield Technologies;IT Services & Consulting | 51-200 Employees | Bangalore / Bengaluru +2 more;4.7;Work Life Balance, Skill Development / Learning, Job Security;;77;1.4k;1;--;15;;
Richmondd Global School;Education & Training | 51-200 Employees | 18 years old | Delhi/NCR +1 more;4.7;Salary & Benefits, Job Security, Work Life Balance;;74;90;3;--;8;;
Spi Cinemas;Media & Entertainment | 201-500 Employees | 33 years old | Chennai +10 more;4.7;Job Security, Company Culture, Work Satisfaction;;74;296;1;--;13;;
Gyaanta;EdTech | 51-200 Employees | Startup | 1 years old | New Delhi +6 more;4.7;Company Culture, Work Life Balance, Work Satisfaction;;73;3;1;--;2;;
Fitness First;Fitness & Wellness | 501-1k Employees | 16 years old | Gurgaon/Gurugram +9 more;4.7;Skill Development / Learning, Company Culture, Work Life Balance;;72;288;1;--;16;;
Fitness First;Fitness & Wellness | 501-1k Employees | 16 years old | Gurgaon/Gurugram +9 more;4.7;Skill Development / Learning, Company Culture, Work Life Balance;;72;288;1;--;16;;
iEnergizer;BPO | 10k-50k Employees | 24 years old | Noida +27 more;4.6;Company Culture, Skill Development / Learning, Job Security;;12.5k;18.2k;310;104;509;;
Paras Hospital;Healthcare | 1k-5k Employees | 18 years old | Gurgaon/Gurugram +46 more;4.6;Skill Development / Learning, Company Culture, Work Life Balance;;2.4k;2.6k;56;46;154;;
IDFC FIRST Bharat;NBFC | 10k-50k Employees | 8 years old | Tiruchirappalli +301 more;4.6;Salary & Benefits, Job Security, Company Culture;;2.2k;3.7k;84;4;76;;
